[139.45663    202.20676      0.20377427],[140.44939    180.7908       0.18091105],[146.93095    180.29436      0.20182273],[161.86037    208.68896      0.41569287],[184.77704    226.11087      0.43319646],[1.3796132e+02 1.8278574e+02 9.6249238e-02],[1.6335902e+02 2.0071960e+02 1.9683924e-01],[185.2712    216.65933     0.2888837],[ 99.61838    142.43913      0.24668886],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[100.111115   140.44902      0.20013952],[ 72.21649   180.79695     0.3711479],[ 47.31515    214.16762      0.39479676],[1.4543335e+02 1.9971733e+02 1.4764892e-01],[0. 0. 0.],[1.4593137e+02 1.9424283e+02 1.3738467e-01],[0. 0. 0.],[ 66.24141    220.64085      0.36924887],[ 64.74954    219.13841      0.30627498],[3.9847759e+01 2.2013525e+02 1.7156899e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[139.45673    202.2068       0.20410499],[140.44955    180.79083      0.18139799],[146.9312     180.29437      0.20246607],[161.86038   208.68909     0.4165876],[184.77707    226.11081      0.43418762],[1.3845746e+02 1.8278493e+02 9.6643485e-02],[1.6335931e+02 2.0071959e+02 1.9780782e-01],[185.27121   216.65945     0.2902576],[ 99.61839    142.43916      0.24666356],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[100.11107    140.44902      0.20013481],[ 72.216515   180.79694      0.37118286],[ 47.315155  214.16763     0.3948047],[1.4543332e+02 1.9971725e+02 1.4804080e-01],[0. 0. 0.],[1.4593130e+02 1.9424271e+02 1.3757342e-01],[0. 0. 0.],[ 66.24141    220.64088      0.36925724],[ 64.74953   219.13838     0.3062817],[3.9847755e+01 2.2013528e+02 1.7156725e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[139.45673    202.20679      0.20410497],[140.44954    180.79085      0.18139796],[146.93121    180.29439      0.20246606],[161.86037   208.68909     0.4165888],[184.77704    226.11084      0.43418625],[1.3845747e+02 1.8278493e+02 9.6643507e-02],[1.6335934e+02 2.0071959e+02 1.9780995e-01],[185.27116   216.6594      0.2902557],[ 99.61837    142.4391       0.24666347],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[100.11105    140.449        0.20013475],[ 72.216515   180.79694      0.37118286],[ 47.315155  214.16762     0.3948047],[1.4543333e+02 1.9971725e+02 1.4804082e-01],[0. 0. 0.],[1.4593129e+02 1.9424266e+02 1.3757351e-01],[0. 0. 0.],[ 66.24141    220.64088      0.36925724],[ 64.74953    219.13838      0.30628166],[3.9847755e+01 2.2013528e+02 1.7156725e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[139.4567    202.20688     0.2039032],[140.44951    180.79071      0.18122663],[146.93127    180.29425      0.20235075],[161.86038    208.68912      0.41621414],[184.77705   226.1108      0.4338752],[1.3845755e+02 1.8278476e+02 9.6456431e-02],[1.6335933e+02 2.0071945e+02 1.9811907e-01],[185.27116   216.65945     0.2902687],[ 99.61836    142.43913      0.24659382],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[100.11104    140.44904      0.20008972],[ 72.2165    180.79694     0.3711129],[ 47.31517   214.16765     0.3947438],[1.4543344e+02 1.9971735e+02 1.4803673e-01],[0. 0. 0.],[1.4593182e+02 1.9424219e+02 1.3791765e-01],[0. 0. 0.],[ 66.2414   220.64085    0.369217],[ 64.749535   219.13837      0.30624658],[3.9847748e+01 2.2013530e+02 1.7155017e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[206.99142     28.670303     0.48096052],[223.43625     31.011639     0.43497428],[277.46494    145.99683      0.47654533],[3.6430301e+02 2.1640703e+02 2.9751319e-01],[185.89862    28.642937    0.4526771],[108.43344    157.74611      0.61783594],[ 49.788723 282.12       0.679333],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[108.46279   305.5999      0.6976101],[101.437675  296.2052      0.6153744],[ 35.688927   291.56         0.42422232],[4.4172836e+02 2.3754202e+02 1.6351347e-01],[0. 0. 0.],[0. 0. 0.]
[3.4503073e+02 3.2925092e+02 1.2375065e-01],[3.6081110e+02 2.6087100e+02 1.0298991e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[237.15572     63.63896      0.48363173],[210.89034     58.34313      0.48458633],[0. 0. 0.],[0. 0. 0.],[266.15036     68.86821      0.39359346],[3.8710019e+02 2.4771011e+02 3.1187052e-01],[4.8440213e+02 3.7395605e+02 1.5138422e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.],[116.45369     53.024384     0.19041412],[130.10945    78.93367     0.3519484],[154.65901     97.349556     0.39759955],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[115.77474     70.07805      0.13699609],[0. 0. 0.],[1.14425476e+02 6.73464279e+01 1.13111019e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.3153537e+02 4.5748451e+01 1.6926025e-01],[2.4822606e+02 5.0527313e+01 1.8039550e-01],[3.2207126e+02 1.7674179e+02 1.9640592e-01],[3.6730231e+02 2.5298854e+02 8.6348154e-02],[2.1009363e+02 4.3370106e+01 1.7539066e-01],[131.48315    162.46169      0.20893912],[4.5746120e+01 2.8870618e+02 2.5507915e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[8.6241356e+01 3.1966733e+02 1.3123283e-01],[8.1488945e+01 3.1493378e+02 1.1326341e-01],[2.1932344e+01 3.0298489e+02 1.9458580e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[206.15651     29.238056     0.50132805],[223.85027    31.456673    0.4474515],[279.17712    146.43474      0.47171614],[3.6320706e+02 2.1058401e+02 2.9437900e-01],[186.25978     27.059355     0.46835726],[111.06969   155.31227     0.6173673],[ 49.150276  281.35873     0.6721682],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[111.053314  305.6735      0.6654174],[102.23827    294.65216      0.58190227],[ 31.44143    294.62497      0.43259647],[4.4279510e+02 2.3713940e+02 1.6141379e-01],[0. 0. 0.],[4.3837518e+02 2.6367752e+02 2.9174057e-01]
[0. 0. 0.],[2.5515485e+02 1.2659431e+02 2.1159732e-01],[200.7635     121.645096     0.20476471],[1.2907021e+02 2.6751242e+02 2.1514423e-01],[1.0433676e+02 3.8124423e+02 1.8166016e-01],[3.0707858e+02 1.3647949e+02 2.1693937e-01],[4.0100272e+02 2.6752295e+02 2.1346861e-01],[4.2080347e+02 3.0955930e+02 1.3427129e-01],[2.2054201e+02 1.8345427e+02 1.6099836e-01],[1.7851035e+02 2.0817570e+02 1.4927773e-01],[148.84654    242.77606      0.66924274],[ 67.24905   413.38486     0.6531917],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.69985138e+02 1.26586464e+02 7.32335001e-02],[2.2300397e+02 1.1917470e+02 8.1886142e-02],[2.8729514e+02 1.2164744e+02 6.9965713e-02],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[143.90424   438.11246     0.5530459],[126.54787   445.51215     0.5682125],[ 49.92526   428.25882     0.6272113]
[109.87383    73.84097     0.1449768],[107.3066      51.973988     0.13434747],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[1.0794063e+02 5.5188511e+01 8.6888328e-02],[133.04512     71.91613      0.15668833],[156.20247     88.64961      0.25124118],[73.839836   14.008789    0.32185495],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[69.345634   12.083322    0.25518194],[42.95993   51.962666   0.3593903],[17.227942   84.781364    0.45233488],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[34.60417   92.496956   0.3963926],[33.3165     90.56989     0.33501258],[ 9.506922   89.28505     0.19476369],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.3128598e+02 4.7551361e+01 1.7256306e-01],[2.4700102e+02 5.2027519e+01 1.8407288e-01],[3.1871246e+02 1.7528868e+02 3.0197465e-01],[4.06067810e+02 2.78330414e+02 1.07776746e-01],[2.0890483e+02 4.5302193e+01 1.7914079e-01],[130.47038   159.58357     0.2305115],[ 43.089054   289.5652       0.29260814],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[9.4615173e+01 3.2317160e+02 1.6182722e-01],[9.2368752e+01 3.1425137e+02 1.3457260e-01],[1.8416382e+01 3.0524597e+02 2.1775189e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[209.55856     29.78744      0.49954882],[226.34369    33.95922     0.4545395],[289.06036  153.12032    0.459372],[4.2912402e+02 2.6397534e+02 3.9431471e-01],[188.64896     27.700554     0.46405342],[109.23386   155.2249      0.6392848],[ 50.6914     280.67         0.66456527],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[111.30534   305.76697     0.6688618],[105.03656   295.3421      0.5950516],[ 31.861952  293.2254      0.4209883],[5.5039929e+02 2.8904770e+02 1.8666127e-01],[5.4830353e+02 2.9113071e+02 1.7203222e-01],[4.4585703e+02 2.7231735e+02 3.1543669e-01]
[0. 0. 0.],[2.5932611e+02 1.2641592e+02 2.1646890e-01],[201.03485    121.75491      0.20411982],[1.3107689e+02 2.6399036e+02 2.1550484e-01],[1.0309927e+02 3.8057867e+02 1.8148673e-01],[3.0595871e+02 1.3107349e+02 2.2496139e-01],[4.1089172e+02 2.7797983e+02 2.2398137e-01],[5.2281555e+02 3.7591595e+02 1.5732853e-01],[236.01927     65.76772      0.47460806],[208.03099     58.783028     0.49594867],[0. 0. 0.],[0. 0. 0.],[270.9982     75.1215      0.3860278],[3.9457886e+02 2.5465500e+02 3.1899637e-01],[5.2046057e+02 3.7590921e+02 1.9879887e-01],[0. 0. 0.],[0. 0. 0.],[2.2901108e+02 1.2407297e+02 8.7506846e-02],[2.8730905e+02 1.2408252e+02 7.0931867e-02],[5.8108771e+02 3.9224545e+02 1.5120357e-01],[5.8107513e+02 3.8521906e+02 1.5703875e-01],[5.2513647e+02 3.8290021e+02 1.3668698e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.],[1.11383026e+02 4.59411201e+01 1.07143871e-01],[130.75809     78.65846      0.22480144],[153.20172     96.22693      0.28087622],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[206.99142     28.670303     0.48096052],[223.43625     31.011639     0.43497428],[277.46494    145.99683      0.47654533],[3.6430301e+02 2.1640703e+02 2.9751319e-01],[185.89862    28.642937    0.4526771],[108.43344    157.74611      0.61783594],[ 49.788723 282.12       0.679333],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[108.46279   305.5999      0.6976101],[101.437675  296.2052      0.6153744],[ 35.688927   291.56         0.42422232],[4.4172836e+02 2.3754202e+02 1.6351347e-01],[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[206.15651     29.238056     0.50132805],[223.85027    31.456673    0.4474515],[279.17712    146.43474      0.47171614],[3.6320706e+02 2.1058401e+02 2.9437900e-01],[186.25978     27.059355     0.46835726],[111.06969   155.31227     0.6173673],[ 49.150276  281.35873     0.6721682],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[111.053314  305.6735      0.6654174],[102.23827    294.65216      0.58190227],[ 31.44143    294.62497      0.43259647],[4.4279510e+02 2.3713940e+02 1.6141379e-01],[0. 0. 0.],[4.3837518e+02 2.6367752e+02 2.9174057e-01]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[209.55856     29.78744      0.49954882],[226.34369    33.95922     0.4545395],[289.06036  153.12032    0.459372],[4.2912402e+02 2.6397534e+02 3.9431471e-01],[188.64896     27.700554     0.46405342],[109.23386   155.2249      0.6392848],[ 50.6914     280.67         0.66456527],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[111.30534   305.76697     0.6688618],[105.03656   295.3421      0.5950516],[ 31.861952  293.2254      0.4209883],[5.5039929e+02 2.8904770e+02 1.8666127e-01],[5.4830353e+02 2.9113071e+02 1.7203222e-01],[4.4585703e+02 2.7231735e+02 3.1543669e-01]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[201.83884     28.139153     0.47874245],[223.53012     30.116945     0.44748536],[288.6564     152.47084      0.44752905],[4.2087469e+02 2.6100293e+02 3.4730697e-01],[182.10765    28.144468    0.4388302],[109.06778   154.44586     0.6184823],[ 49.852657  278.77435     0.6643049],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[111.020325  304.43777     0.6506932],[101.17219   296.54065     0.5721663],[ 28.124708   292.59808      0.41572702],[5.4917169e+02 2.8666626e+02 9.8733544e-02],[5.4718280e+02 2.8470926e+02 8.8014670e-02],[4.4257635e+02 2.6890601e+02 2.9598829e-01]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[202.95973     30.490547     0.44020393],[223.5842      32.3688       0.41332084],[287.30276   152.35503     0.3817958],[3.6794666e+02 2.1796114e+02 1.9225802e-01],[186.08905    28.6403      0.3742053],[109.18501    156.0958       0.59271175],[ 51.10787   279.82333     0.5850565],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[111.116646   302.3143       0.58600307],[107.336174  294.80072     0.5222334],[ 43.595028  291.0933      0.2958665],[0. 0. 0.],[0. 0. 0.],[4.3542792e+02 2.7043094e+02 2.1651331e-01]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[205.77605     32.615936     0.42841426],[225.42023     34.422165     0.39027622],[287.88428    154.02446      0.37962812],[4.2534897e+02 2.6111102e+02 2.5835323e-01],[187.92906    29.071772    0.3815064],[107.635765  155.80157     0.5752364],[ 50.49118   280.75204     0.5792639],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[111.170555   302.18713      0.58042896],[105.82367    295.03156      0.52465016],[2.9063902e+01 2.9504031e+02 2.9294157e-01],[0. 0. 0.],[0. 0. 0.],[4.3605408e+02 2.7003967e+02 2.1969976e-01]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[201.52199     31.171835     0.41711864],[221.98868     32.88292      0.36709225],[286.72662    152.12894      0.30269825],[3.6508340e+02 2.2198680e+02 1.7519952e-01],[182.78836     29.457159     0.35728806],[107.83373  155.55574    0.549382],[ 54.993267  279.9236      0.5537699],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[111.23744   303.7692      0.5711996],[104.42766   296.93848     0.5028423],[4.1390945e+01 2.9184460e+02 2.5414908e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[202.54898     29.821337     0.46998903],[223.73973     31.468203     0.41419405],[285.65445    150.38713      0.30703515],[3.6875439e+02 2.1721434e+02 1.8186498e-01],[181.38681     28.200878     0.38777646],[111.268555   152.0501       0.57349956],[ 51.014114   280.75476      0.53799313],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[111.30488   301.954       0.5462579],[106.40358    295.42145      0.47864193],[2.9825703e+01 2.9541998e+02 2.6013523e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[204.98276     30.150173     0.49360263],[223.72624     31.716595     0.46313822],[287.7437     150.35768      0.45224425],[3.6892603e+02 2.2218019e+02 1.9289249e-01],[183.15918     27.038115     0.44300598],[109.7607     156.60661      0.70876426],[ 55.141754  279.92007     0.6925488],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[111.33926   301.78223     0.7126647],[106.643616  293.9887      0.6494795],[ 39.528275 290.86548    0.341986],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[202.8341      28.972263     0.49040958],[223.80939    30.474373    0.4663204],[286.76343    148.87187      0.45205837],[3.7818414e+02 2.3131174e+02 1.7857191e-01],[183.35223     27.47088      0.43764207],[108.42657    156.3808       0.70131236],[ 55.95046    280.74646      0.68272495],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[112.91994   300.26175     0.7100437],[108.41444   294.25543     0.6391111],[ 49.941586   291.2525       0.34608018],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[200.8076      29.332718     0.46239704],[223.85117     32.202312     0.42340618],[290.14072    151.79532      0.48425972],[4.2702988e+02 2.6419623e+02 3.2628965e-01],[182.07057    27.881447    0.4319176],[108.56715   154.69461     0.6817355],[ 58.13322    278.61536      0.68541175],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[111.46403    301.65512      0.69002247],[107.12061   294.45944     0.6283582],[ 50.936592  288.7036      0.3666296],[5.5094946e+02 2.8868594e+02 1.7439082e-01],[5.4807098e+02 2.9301633e+02 1.6460839e-01],[4.4863663e+02 2.7284299e+02 2.1781090e-01]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[198.9116     29.638983    0.4323552],[219.72168     31.01476      0.41284013],[287.7038     148.95537      0.45813638],[3.7095663e+02 2.1972583e+02 1.4957100e-01],[178.10483     29.64441      0.39003432],[108.72316    155.90396      0.65996647],[ 58.78623    279.37384      0.69734025],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[112.891266 301.57962    0.690634],[108.7218    294.65198     0.6273743],[ 51.84666    289.09894      0.39125407],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[200.7445      28.900822     0.49656913],[222.38501     30.269932     0.44915435],[285.9653     146.62651      0.44043484],[3.8473187e+02 2.3050758e+02 1.7740333e-01],[183.14117     26.21168      0.42808852],[108.73699   156.07788     0.7053078],[ 58.684406   280.5439       0.71406734],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[112.80225   299.51492     0.6349257],[108.73442   296.77747     0.5861949],[ 54.59808   288.68646     0.4219957],[0. 0. 0.],[0. 0. 0.],[4.4696628e+02 2.6973602e+02 1.9348004e-01]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[200.74454     28.90083      0.49657083],[222.38501     30.269932     0.44915566],[285.96527    146.62656      0.44030884],[3.8473871e+02 2.3184879e+02 1.7723015e-01],[183.14122     26.211681     0.42809024],[108.73697   156.07787     0.7053079],[ 58.684402   280.5439       0.71406734],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[112.80225   299.51492     0.6349257],[108.73442   296.77747     0.5861949],[ 54.598072   288.68637      0.42199576],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[200.74463     28.900764     0.49645227],[222.38528    30.269981    0.4491584],[285.96564  146.62704    0.440186],[3.8473145e+02 2.3050725e+02 1.7700425e-01],[183.14117     26.211536     0.42797512],[108.73699   156.0778      0.7052968],[ 58.684364  280.54395     0.7140329],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[112.80223   299.5149      0.6349062],[108.7344     296.7774       0.58615637],[ 54.598026   288.6865       0.42192602],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[3.4503073e+02 3.2925092e+02 1.2375065e-01],[3.6081110e+02 2.6087100e+02 1.0298991e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[237.15572     63.63896      0.48363173],[210.89034     58.34313      0.48458633],[0. 0. 0.],[0. 0. 0.],[266.15036     68.86821      0.39359346],[3.8710019e+02 2.4771011e+02 3.1187052e-01],[4.8440213e+02 3.7395605e+02 1.5138422e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[2.5515485e+02 1.2659431e+02 2.1159732e-01],[200.7635     121.645096     0.20476471],[1.2907021e+02 2.6751242e+02 2.1514423e-01],[1.0433676e+02 3.8124423e+02 1.8166016e-01],[3.0707858e+02 1.3647949e+02 2.1693937e-01],[4.0100272e+02 2.6752295e+02 2.1346861e-01],[4.2080347e+02 3.0955930e+02 1.3427129e-01],[2.2054201e+02 1.8345427e+02 1.6099836e-01],[1.7851035e+02 2.0817570e+02 1.4927773e-01],[148.84654    242.77606      0.66924274],[ 67.24905   413.38486     0.6531917],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.69985138e+02 1.26586464e+02 7.32335001e-02],[2.2300397e+02 1.1917470e+02 8.1886142e-02],[2.8729514e+02 1.2164744e+02 6.9965713e-02],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[143.90424   438.11246     0.5530459],[126.54787   445.51215     0.5682125],[ 49.92526   428.25882     0.6272113]
[0. 0. 0.],[2.5932611e+02 1.2641592e+02 2.1646890e-01],[201.03485    121.75491      0.20411982],[1.3107689e+02 2.6399036e+02 2.1550484e-01],[1.0309927e+02 3.8057867e+02 1.8148673e-01],[3.0595871e+02 1.3107349e+02 2.2496139e-01],[4.1089172e+02 2.7797983e+02 2.2398137e-01],[5.2281555e+02 3.7591595e+02 1.5732853e-01],[236.01927     65.76772      0.47460806],[208.03099     58.783028     0.49594867],[0. 0. 0.],[0. 0. 0.],[270.9982     75.1215      0.3860278],[3.9457886e+02 2.5465500e+02 3.1899637e-01],[5.2046057e+02 3.7590921e+02 1.9879887e-01],[0. 0. 0.],[0. 0. 0.],[2.2901108e+02 1.2407297e+02 8.7506846e-02],[2.8730905e+02 1.2408252e+02 7.0931867e-02],[5.8108771e+02 3.9224545e+02 1.5120357e-01],[5.8107513e+02 3.8521906e+02 1.5703875e-01],[5.2513647e+02 3.8290021e+02 1.3668698e-01],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[2.60840973e+02 1.26258644e+02 2.16930076e-01],[201.27362    121.84799      0.20420448],[1.3066695e+02 2.6525351e+02 2.1517423e-01],[1.0419450e+02 3.7998413e+02 1.8134598e-01],[3.0717084e+02 1.3067012e+02 2.2612657e-01],[3.9541681e+02 2.7187186e+02 2.0141499e-01],[3.9321545e+02 3.0938788e+02 1.4194608e-01],[2.1892331e+02 1.9685893e+02 1.6043453e-01],[1.7920769e+02 2.0568507e+02 1.4982462e-01],[148.33598   240.9844      0.6493764],[ 64.50126    413.08615      0.62304693],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.2553403e+02 1.1742976e+02 8.7552294e-02],[2.8731866e+02 1.2184650e+02 6.9250241e-02],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[139.48216   435.1646      0.5358966],[121.86407   443.9711      0.5364472],[ 53.42751    424.13348      0.62068695]
[3.4290250e+02 3.3659503e+02 1.1257763e-01],[3.5759848e+02 2.5258305e+02 9.1430761e-02],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[233.66896     59.320187     0.48958868],[212.69211     55.108124     0.53166074],[147.53981   242.0903      0.5332244],[ 67.71513    414.3032       0.58493054],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[3.681223e+02 3.450132e+02 5.410829e-02],[0. 0. 0.],[3.8911359e+02 3.2609686e+02 7.2876409e-02],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[143.29814   437.4548      0.4902403],[122.361984   445.8119       0.49938077],[ 52.98536    424.85437      0.58223605]
[3.41489197e+02 3.35499237e+02 1.12105615e-01],[3.5544562e+02 2.5174855e+02 9.0927571e-02],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[231.80093     60.316498     0.48403615],[211.88153     56.329166     0.52243185],[148.02844   243.76099     0.5304282],[ 68.2781    411.29333     0.5841241],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[3.6740985e+02 3.4543491e+02 5.4119240e-02],[0. 0. 0.],[3.8736017e+02 3.2551138e+02 7.2805464e-02],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[142.06808    437.21793      0.49730036],[122.15997    443.20105      0.49113786],[ 52.332706  423.2297      0.5906049]
